,Recency,Frequency,AOV,PredictedLTV,Segment
0,316,1,77183.6,77143.04,High
1,30,6,680.8633333333333,3923.0542,High
2,65,4,449.31,1813.0322,High
3,9,1,1757.55,1766.2543,High
4,300,1,334.4,331.7072,Mid-Low
5,26,8,313.255,2550.8132,High
6,194,1,89.0,93.54792,Low
7,222,1,1079.4,1101.4854,Mid-High
8,204,1,459.4,455.24072,Mid-Low
9,13,3,937.1433333333333,2800.6514,High
10,23,1,6207.67,6199.23,High
11,141,1,484.86,488.37302,Mid-Low
12,48,4,1593.145,6176.7993,High
13,42,3,887.3533333333334,2709.191,High
14,277,1,189.9,191.6101,Low
15,26,9,521.91,4768.4653,High
16,100,2,276.0,571.9833,Mid-Low
17,30,3,334.26,964.87823,Mid-High
18,281,2,320.69,637.0524,Mid-Low
19,41,4,886.4225,3607.5554,High
20,35,2,943.98,1886.029,High
21,62,3,432.68,1323.7795,Mid-High
22,301,1,364.6,359.2125,Mid-Low
23,15,1,742.9300000000001,801.9046,Mid-High
24,1,2,228.75,473.51874,Mid-Low
25,305,2,814.06,1666.1691,High
26,120,1,4008.62,14275.717,High
27,72,2,426.12,870.5617,Mid-High
28,12,4,681.2025,2720.6921,High
29,23,4,424.575,1657.114,High
30,175,5,370.11199999999997,1883.1117,High
31,19,2,292.635,589.4613,Mid-Low
32,328,2,200.95,407.5312,Mid-Low
33,6,6,463.4433333333333,2813.987,High
34,70,1,549.84,553.24634,Mid-Low
35,12,1,460.89,450.70346,Mid-Low
36,62,4,395.65000000000003,1603.5604,Mid-High
37,54,2,636.24,1221.6093,Mid-High
38,9,12,251.5525,2986.4753,High
39,26,2,1204.95,2404.2808,High
40,36,1,1635.6599999999999,1666.9021,High
41,109,4,277.1625,1136.0944,Mid-High
42,293,1,84.3,75.274536,Low
43,313,1,225.6,222.09343,Low
44,40,1,427.7,430.92706,Mid-Low
45,139,1,1710.39,1561.1078,Mid-High
46,12,2,1707.65,3336.4075,High
47,40,5,341.624,1743.025,High
48,23,5,577.71,2863.4568,High
49,69,3,3690.89,11164.193,High
50,299,2,346.66499999999996,695.66156,Mid-High
51,65,3,408.96000000000004,1240.2418,Mid-High
52,57,3,252.70000000000002,744.36383,Mid-High
53,207,3,187.47,562.23975,Mid-Low
54,14,21,5948.310952380953,124909.78,High
55,29,8,409.92125,3277.8547,High
56,103,1,668.58,659.2691,Mid-High
57,54,1,600.39,602.7439,Mid-Low
58,6,4,201.76,812.23315,Mid-High
59,86,3,267.85333333333335,815.03723,Mid-High
60,91,7,235.81,1698.6359,High
61,153,2,880.48,1713.8762,High
62,68,1,777.2,769.1225,Mid-High
63,185,1,582.73,585.43823,Mid-Low
64,12,3,275.26666666666665,815.6498,Mid-High
65,16,9,884.0511111111111,7941.6313,High
66,163,3,948.2933333333334,2785.8374,High
67,33,1,256.4,252.44966,Low
68,26,15,432.49666666666667,6486.443,High
69,33,5,1011.8639999999999,5128.3696,High
70,33,4,1973.4725,7515.7495,High
71,75,2,403.07,776.0917,Mid-High
72,70,2,3914.945,7771.065,High
73,90,1,509.01,519.9262,Mid-Low
74,11,16,280.81875,4543.487,High
75,4,2,1453.425,2923.6523,High
76,357,1,173.55,180.56056,Low
77,11,5,1001.092,5095.8,High
78,12,1,133.4,136.33128,Low
79,48,1,1002.3100000000001,994.5086,Mid-High
80,233,1,476.49,470.6234,Mid-Low
81,34,1,449.45,455.03708,Mid-Low
82,12,4,1016.8225,4083.3018,High
83,146,2,98.94,194.86661,Low
84,1,5,1807.104,5544.306,High
85,7,2,215.285,440.35492,Mid-Low
86,124,1,707.09,693.68665,Mid-High
87,46,1,3528.34,3526.8384,High
88,63,6,411.1433333333334,2548.0173,High
89,34,3,1060.3466666666666,3196.2292,High
90,56,7,337.6042857142857,2350.9038,High
91,61,2,473.7,948.8231,Mid-High
92,84,2,413.44,766.2821,Mid-High
93,9,2,594.795,1233.0676,Mid-High
94,43,4,336.195,1364.7146,Mid-High
95,12,7,132.87857142857143,965.9782,Mid-High
96,7,2,371.09499999999997,742.0703,Mid-High
97,178,2,364.77000000000004,733.5685,Mid-High
98,6,27,625.4318518518519,16857.904,High
99,22,7,938.8728571428571,6588.089,High
100,19,5,787.7099999999999,3839.5164,High
